Date updated,County code,County,Total cases ,Confirmed cases,Probable cases,Total case rate,Hospitalized cases,Total deaths,Confirmed deaths,Probable deaths
04/13/2022,1,Fairfield,204732,182047,22685,21703,25,2704,2184,520
04/13/2022,2,Hartford,178274,161724,16550,19992,40,3127,2556,571
04/13/2022,3,Litchfield,31962,27610,4352,17724,1,456,393,63
04/13/2022,4,Middlesex,28289,25696,2593,17415,6,479,341,138
04/13/2022,5,New Haven,196791,173991,22800,23023,37,2812,2432,380
04/13/2022,6,New London,55300,50636,4664,20852,15,657,513,144
04/13/2022,7,Tolland,20716,18607,2109,13745,0,272,196,76
04/13/2022,8,Windham,25777,24267,1510,22073,2,301,238,63
04/14/2022,1,Fairfield,204868,182183,22685,21717,30,2704,2184,520
04/14/2022,2,Hartford,178327,161775,16552,19998,40,3127,2556,571
04/14/2022,3,Litchfield,31978,27626,4352,17733,2,456,393,63
04/14/2022,4,Middlesex,28300,25706,2594,17422,7,479,341,138
04/14/2022,5,New Haven,196954,174151,22803,23042,40,2812,2432,380
04/14/2022,6,New London,55324,50660,4664,20861,14,657,513,144
04/14/2022,7,Tolland,20720,18611,2109,13747,3,272,196,76
04/14/2022,8,Windham,25784,24275,1509,22079,3,301,238,63
04/15/2022,1,Fairfield,205283,182554,22729,21761,37,2706,2185,521
04/15/2022,2,Hartford,178587,161993,16594,20027,43,3127,2556,571
04/15/2022,3,Litchfield,32023,27668,4355,17758,1,456,393,63
04/15/2022,4,Middlesex,28354,25756,2598,17455,7,479,341,138
04/15/2022,5,New Haven,197193,174351,22842,23070,53,2814,2434,380
04/15/2022,6,New London,55412,50740,4672,20894,15,657,513,144
04/15/2022,7,Tolland,20777,18653,2124,13785,3,272,196,76
04/15/2022,8,Windham,25813,24303,1510,22104,2,301,238,63
04/18/2022,1,Fairfield,205991,183116,22875,21837,36,2706,2185,521
04/18/2022,2,Hartford,178931,162294,16637,20066,43,3127,2556,571
04/18/2022,3,Litchfield,32105,27737,4368,17803,1,456,393,63
04/18/2022,4,Middlesex,28446,25839,2607,17512,3,479,341,138
04/18/2022,5,New Haven,197674,174772,22902,23126,43,2814,2434,380
04/18/2022,6,New London,55558,50878,4680,20949,15,657,513,144
04/18/2022,7,Tolland,20831,18702,2129,13821,2,272,196,76
04/18/2022,8,Windham,25858,24348,1510,22142,2,301,238,63
04/19/2022,1,Fairfield,206262,183359,22903,21865,37,2707,2185,522
04/19/2022,2,Hartford,179399,162724,16675,20118,45,3126,2555,571
04/19/2022,3,Litchfield,32172,27801,4371,17840,1,456,393,63
04/19/2022,4,Middlesex,28480,25871,2609,17533,3,479,341,138
04/19/2022,5,New Haven,197871,174953,22918,23149,44,2814,2434,380
04/19/2022,6,New London,55618,50938,4680,20972,15,657,513,144
04/19/2022,7,Tolland,20878,18746,2132,13852,2,272,196,76
04/19/2022,8,Windham,25870,24358,1512,22152,3,301,238,63
